URL	料理名	日付	セクション
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/2903kiribosidaikonnogomazuae.pdf	切り干しだいこんのごま酢あえ	平成29年3月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/2905popaisarada.pdf	ポパイサラダ	平成29年5月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/2905kyuuritosasami.pdf	きゅうりとささみのめんつゆ和え	平成29年5月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/2907hijikisarada.pdf	ひじきサラダ	平成29年7月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/3103hanayasainogomamisoae.pdf	花野菜のごまみそ和え	平成31年3月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/0406calciumtappurisalad.pdf	カルシウムたっぷりサラダ	令和4年6月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/0411kiribosidaikontosasagenomisomayosalad.pdf	切り干しだいこんとささげのみそマヨサラダ	令和4年11月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/0411syakisyakirenkonsalad.pdf	シャキシャキれんこんサラダ	令和4年11月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/0504akajisoae.pdf	赤じそ和え	令和5年4月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/0511ingennogomaae.pdf	いんげんのごま和え	令和5年11月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/0601hijikinogomadoreae.pdf	ひじきのごまドレ和え	令和6年1月	和え物（サラダ）
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/3005oroshiso-su.pdf	おろしソース	平成30年5月	ソース・タレ
https://www.city.ichinomiya.aichi.jp/_res/projects/default_project/_page_/001/001/639/0107irodorisauce.pdf	いろどりソース（ハンバーグ）	令和元年7月	ソース・タレ
